"ES_ID","study_ID","year","title","journal","species","strain","F0_sex_exercise","age_manipulation_d","age_mating_d","n_con_parent","n_exp_parent","parent_housing","temperature","photoperiod","manipulation_type","manipulation_mode","manipulatoion_intensity","manipulation_duration","manipulation_window","litter_size_con","litter_size_exp","litter_housing","F1_sex_test","comparison","data_source","tissue_measure","response_age_PND","response_age_life_phase","response_test","response_type","measure","unit_measure","exp_mean","exp_se","exp_n","con_mean","con_se","con_n","biological_direction","multi_use_con","cohort_ID","shared_ID","measure_comments","notes","exp_sd","con_sd","RR","VRR","CVR","VCVR","exerciselnCV","controllnCV","exerciseVlnCV","controlVlnCV","grouped_traits"
"1","Akhavan_2013",2013,"Materl Voluntary Exercise during Pregncy Enhances the Spatial Learning Acquisition but not the Retention of Memory in Rat Pups via a TrkB-mediated Mechanism: The Role of Hippocampal BDNF Expression","Iranian Jourl of Basic Medical Sciences","rats","Wistar","female",NA,NA,20,20,"single","22-24","12","wheel-running","voluntary","100g",21,"pregnancy",NA,NA,NA,"male","Sed/Cyt(con)-Exc/Cyt(exp)","fig.3.png","hippocampus",36,"adolescence","ELISA","BDNF","BDNF","%control",127.9245283,8.301886792,7,100,8.301886792,7,1,"no","Cohort_006","Shared_004",NA,NA,21.9647278642438,21.9647278642438,0.246270281379479,0.0111037212609712,-0.246270281379479,0.177770387927638,-1.67866924620094,-1.43239896482146,0.053382994340557,0.0462707392304534,"genes"
"2","Aksu_2012",2012,"Materl treadmill exercise during pregncy decreases anxiety and increases prefrontal cortex VEGF and BDNF levels of rat pups in early and late periods of life","Neuroscience Letters","rats","Wistar","female",NA,NA,7,7,NA,"22","12","treadmill-running","forced","6.7m/min; 30min/day",21,"pregnancy",NA,NA,NA,"female","materl exercise female(exp)-control female(con)","fig.2A.png","prefrontal cortex",26,"adolescence","ELISA","BDNF","BDNF","pg/mg",383.7209303,27.90697674,7,247.6744186,17.44186047,7,1,"no","Cohort_007","Shared_005","n of F1 assumed same with F0; no info of n","different  ages of F1",73.834920297704,46.1468252059082,0.437800488945638,0.0102485896634468,0.0322031398700976,0.176915256330113,-2.03475404539308,-1.59695355644745,0.0614719830575762,0.0510071273155824,"genes"
"3","Aksu_2012",2012,"Materl treadmill exercise during pregncy decreases anxiety and increases prefrontal cortex VEGF and BDNF levels of rat pups in early and late periods of life","Neuroscience Letters","rats","Wistar","female",NA,NA,7,7,NA,"22","12","treadmill-running","forced","6.7m/min; 30min/day",21,"pregnancy",NA,NA,NA,"male","materl exercise male(exp)-control male(con)","fig.2A.png","prefrontal cortex",26,"adolescence","ELISA","BDNF","BDNF","pg/mg",366.2790698,31.39534884,7,226.744186,13.95348837,7,1,"no","Cohort_008","Shared_006","n of F1 assumed same with F0; no info of n","different  ages of F1",83.0642853547602,36.917460148852,0.479573080555903,0.0111339210244485,0.331357135899314,0.177800587691115,-2.21137758141553,-1.73180450085963,0.064731085208647,0.0545384903160309,"genes"
"4","Aksu_2012",2012,"Materl treadmill exercise during pregncy decreases anxiety and increases prefrontal cortex VEGF and BDNF levels of rat pups in early and late periods of life","Neuroscience Letters","rats","Wistar","female",NA,NA,7,7,NA,"22","12","treadmill-running","forced","6.7m/min; 30min/day",21,"pregnancy",NA,NA,NA,"female","materl exercise female(exp)-control female(con)","fig.2A.png","prefrontal cortex",120,"adulthood","ELISA","BDNF","BDNF","pg/mg",582.5581395,59.30232558,7,317.4418604,13.95348837,7,1,"no","Cohort_009","Shared_007","n of F1 assumed same with F0; no info of n","different  ages of F1",156.899205652464,36.917460148852,0.607134306045153,0.0122946423171344,0.839784677017643,0.178961308983801,-2.67541104352599,-2.06827673748084,0.0712985511626914,0.061992734800783,"genes"
"5","Aksu_2012",2012,"Materl treadmill exercise during pregncy decreases anxiety and increases prefrontal cortex VEGF and BDNF levels of rat pups in early and late periods of life","Neuroscience Letters","rats","Wistar","female",NA,NA,7,7,NA,"22","12","treadmill-running","forced","6.7m/min; 30min/day",21,"pregnancy",NA,NA,NA,"male","materl exercise male(exp)-control male(con)","fig.2A.png","prefrontal cortex",120,"adulthood","ELISA","BDNF","BDNF","pg/mg",575.5813953,59.30232558,7,303.4883721,13.95348837,7,1,"no","Cohort_010","Shared_008","n of F1 assumed same with F0; no info of n","different  ages of F1",156.899205652464,36.917460148852,0.64003735513816,0.0127291289290292,0.806881627924636,0.179395795595696,-2.66336270498485,-2.02332534984669,0.0711597132799456,0.0611044759090902,"genes"
"6","Cutuli_2015",2015,"Pre-reproductive materl enrichment influences rat materl care and offspring developmental trajectories: behavioral performances and neuroplasticity correlates","Frontiers in Behavioral Neuroscience","rats","Wistar","female",21,77,10,10,"group (10/cage)",NA,"12","enrichment","voluntary",NA,49,"pre-conception","24","24",NA,"male","EF-p(exp)-EE-p(con)","fig.9B1.png","cortex",0,"prenantal","ELISA","BDNF","BDNF","pg/g",89.65517242,3.448275862,4,75.86206896,10.34482759,4,1,"no","Cohort_013","Shared_011","different tissues and F1 ages",NA,6.896551724,20.68965518,0.167054084805124,0.0200743312792195,-1.2656663738599,0.353407664612553,-1.29967040182932,-1.1326163170242,0.0940824263017305,0.0831578041048863,"genes"
"7","Cutuli_2015",2015,"Pre-reproductive materl enrichment influences rat materl care and offspring developmental trajectories: behavioral performances and neuroplasticity correlates","Frontiers in Behavioral Neuroscience","rats","Wistar","female",21,77,10,10,"group (10/cage)",NA,"12","enrichment","voluntary",NA,49,"pre-conception","24","24",NA,"male","EF-p(exp)-EE-p(con)","fig.9B1.png","hippocampus",0,"prenantal","ELISA","BDNF","BDNF","pg/g",324.1379311,24.13793103,4,396.5517241,58.62068966,4,1,"no","Cohort_013","Shared_011","different tissues and F1 ages",NA,48.27586206,117.24137932,-0.201637345795466,0.0273980476877668,-0.685665849473503,0.3607313810211,-0.850267591106951,-1.05190493690242,0.0647395554593337,0.0778326677932909,"genes"
"8","Cutuli_2015",2015,"Pre-reproductive materl enrichment influences rat materl care and offspring developmental trajectories: behavioral performances and neuroplasticity correlates","Frontiers in Behavioral Neuroscience","rats","Wistar","female",21,77,10,10,"group (10/cage)",NA,"12","enrichment","voluntary",NA,49,"pre-conception","24","24",NA,"male","EF-p(exp)-EE-p(con)","fig.9B2.png","frontal_cortex",21,"early postnatal","ELISA","BDNF","BDNF","pg/g",223.5294118,5.882352941,4,217.6470588,2.941176471,4,1,"no","Cohort_014","Shared_012","different tissues and F1 ages",NA,11.764705882,5.882352942,0.0266682473481641,0.000875135822933556,0.666478933041781,0.334208469156267,-3.47091949307761,-3.44425124572945,0.157044428022216,0.156730876825139,"genes"
"9","Cutuli_2015",2015,"Pre-reproductive materl enrichment influences rat materl care and offspring developmental trajectories: behavioral performances and neuroplasticity correlates","Frontiers in Behavioral Neuroscience","rats","Wistar","female",21,77,10,10,"group (10/cage)",NA,"12","enrichment","voluntary",NA,49,"pre-conception","24","24",NA,"male","EF-p(exp)-EE-p(con)","fig.9B2.png","hippocampus",21,"early postnatal","ELISA","BDNF","BDNF","pg/g",394.117647,11.76470588,4,326.4705882,20.58823529,4,1,"no","Cohort_014","Shared_012","different tissues and F1 ages",NA,23.52941176,41.17647058,0.188309598597431,0.00486801697487026,-0.747925386532855,0.338201350308204,-2.09211580371973,-1.9038062051223,0.130506483233255,0.123424393789093,"genes"
"10","Cutuli_2015",2015,"Pre-reproductive materl enrichment influences rat materl care and offspring developmental trajectories: behavioral performances and neuroplasticity correlates","Frontiers in Behavioral Neuroscience","rats","Wistar","female",21,77,10,10,"group (10/cage)",NA,"12","enrichment","voluntary",NA,49,"pre-conception","24","24",NA,"male","EF-p(exp)-EE-p(con)","fig.9B2.png","cerebellum",21,"early postnatal","ELISA","BDNF","BDNF","pg/g",279.4117647,8.823529412,4,238.2352941,32.35294118,4,1,"no","Cohort_014","Shared_012","different tissues and F1 ages",NA,17.647058824,64.70588236,0.159427736981124,0.0194395405471292,-1.45871072119381,0.352772873880463,-1.29616777144541,-1.13674003446429,0.0938746230959797,0.0834252540969094,"genes"
