"ES_ID","study_ID","year","title","journal","species","strain","F0_sex_exercise","age_manipulation_d","age_mating_d","n_con_parent","n_exp_parent","parent_housing","temperature","photoperiod","manipulation_type","manipulation_mode","manipulatoion_intensity","manipulation_duration","manipulation_window","litter_size_con","litter_size_exp","litter_housing","F1_sex_test","comparison","data_source","tissue_measure","response_age_PND","response_age_life_phase","response_test","response_type","measure","unit_measure","exp_mean","exp_se","exp_n","con_mean","con_se","con_n","biological_direction","multi_use_con","cohort_ID","shared_ID","measure_comments","notes","exp_sd","con_sd","RR","VRR","CVR","VCVR","exerciselnCV","controllnCV","exerciseVlnCV","controlVlnCV","grouped_traits"
"388","Akhavan_2012",2012,"Pretal exposure to materl voluntary exercise during pregncy provides protection against mild chronic posttal hypoxia in rat offspring","Pakistan Jourl of Pharmaceutical Sciences","rats","Wistar","female",NA,NA,16,16,NA,"22-24","12","wheel-running","voluntary","100g",21,"pregnancy","7","7","with dam","mixed","S.control(con)-V.exercise(exp)","fig.2A.png","CA1-CA2",36,"adolescence","Hematoxylin and eosin (H&E) staining","VEGF","VEGF","count/mm2",871.4285714,142.8571429,8,885.7142857,157.1428571,8,1,"no","Cohort_005","Shared_003","different issues",NA,404.061017942103,444.467119481754,-0.0162605208884382,0.0583521235763148,-0.0790496583431593,0.201209266433458,-0.601829249346392,-0.61808977023483,0.0160629083936398,0.015938820951575,"genes"
"389","Akhavan_2012",2012,"Pretal exposure to materl voluntary exercise during pregncy provides protection against mild chronic posttal hypoxia in rat offspring","Pakistan Jourl of Pharmaceutical Sciences","rats","Wistar","female",NA,NA,16,16,NA,"22-24","12","wheel-running","voluntary","100g",21,"pregnancy","7","7","with dam","mixed","S.control(con)-V.exercise(exp)","fig.2A.png","CA3",36,"adolescence","Hematoxylin and eosin (H&E) staining","VEGF","VEGF","count/mm2",935.7142857,121.4285714,8,921.4285714,135.7142857,8,1,"no","Cohort_005","Shared_003","different issues",NA,343.451865066939,383.857966889434,0.01538491885522,0.038533918297217,-0.126610554095475,0.18139106115436,-0.819609001856218,-0.804224083000997,0.0217794729198579,0.0209249593841877,"genes"
"390","Akhavan_2012",2012,"Pretal exposure to materl voluntary exercise during pregncy provides protection against mild chronic posttal hypoxia in rat offspring","Pakistan Jourl of Pharmaceutical Sciences","rats","Wistar","female",NA,NA,16,16,NA,"22-24","12","wheel-running","voluntary","100g",21,"pregnancy","7","7","with dam","mixed","S.control(con)-V.exercise(exp)","fig.2A.png","DG",36,"adolescence","Hematoxylin and eosin (H&E) staining","VEGF","VEGF","count/mm2",1321.428571,100,8,921.4285714,157.1428571,8,1,"no","Cohort_005","Shared_003","different issues",NA,282.842712474619,444.467119481754,0.360543420423336,0.0348115984561133,-0.812528543893666,0.177668741313256,-1.01816402939992,-0.657620608976586,0.027614475267752,0.0169168126605544,"genes"
"391","Aksu_2012",2012,"Materl treadmill exercise during pregncy decreases anxiety and increases prefrontal cortex VEGF and BDNF levels of rat pups in early and late periods of life","Neuroscience Letters","rats","Wistar","female",NA,NA,7,7,NA,"22","12","treadmill-running","forced","6.7m/min; 30min/day",21,"pregnancy",NA,NA,NA,"female","control female(con)-Materl exercise-female(exp)","fig.2A.png","prefrontal cortex",26,"adolescence","ELISA","VEGF","VEGF","pg/mg",303.5714286,10.71428571,7,217.8571429,7.142857143,7,1,"no","Cohort_007","Shared_005","different F1 sex and ages","diffetent types of measure methods",28.3473354643531,18.8982236508393,0.331777392214401,0.00232065458300139,0.0736877154737631,0.168987321249668,-2.6932156681435,-2.3614382759291,0.0715009841644963,0.0670491439818794,"genes"
"392","Aksu_2012",2012,"Materl treadmill exercise during pregncy decreases anxiety and increases prefrontal cortex VEGF and BDNF levels of rat pups in early and late periods of life","Neuroscience Letters","rats","Wistar","female",NA,NA,7,7,NA,"22","12","treadmill-running","forced","6.7m/min; 30min/day",21,"pregnancy",NA,NA,NA,"male","control male(con)-Materl exercise-male(exp)","fig.2A.png","prefrontal cortex",26,"adolescence","ELISA","VEGF","VEGF","pg/mg",314.2857143,14.28571429,7,246.4285714,10.71428571,7,1,"no","Cohort_008","Shared_006","different F1 sex and ages","diffetent types of measure methods",37.7964473122617,28.3473354643531,0.243230310042344,0.0039564748706992,0.0444517631094376,0.170623141537366,-2.32243611839456,-2.07920580835222,0.0665499239408067,0.0622039246571611,"genes"
"393","Aksu_2012",2012,"Materl treadmill exercise during pregncy decreases anxiety and increases prefrontal cortex VEGF and BDNF levels of rat pups in early and late periods of life","Neuroscience Letters","rats","Wistar","female",NA,NA,7,7,NA,"22","12","treadmill-running","forced","6.7m/min; 30min/day",21,"pregnancy",NA,NA,NA,"female","control female(con)-Materl exercise-female(exp)","fig.2A.png","prefrontal cortex",120,"adulthood","ELISA","VEGF","VEGF","pg/mg",232.1428571,10.71428571,7,103.5714286,10.71428571,7,1,"no","Cohort_009","Shared_007","different F1 sex and ages","diffetent types of measure methods",28.3473354643531,28.3473354643531,0.807091439448686,0.0128317232782445,-0.807091439448685,0.179498389944911,-2.01948657358192,-1.21239513413324,0.0611679300150966,0.0392637073539731,"genes"
"394","Aksu_2012",2012,"Materl treadmill exercise during pregncy decreases anxiety and increases prefrontal cortex VEGF and BDNF levels of rat pups in early and late periods of life","Neuroscience Letters","rats","Wistar","female",NA,NA,7,7,NA,"22","12","treadmill-running","forced","6.7m/min; 30min/day",21,"pregnancy",NA,NA,NA,"male","control male(con)-Materl exercise-male(exp)","fig.2A.png","prefrontal cortex",120,"adulthood","ELISA","VEGF","VEGF","pg/mg",210.7142857,32.14285714,7,117.8571429,14.28571429,7,1,"no","Cohort_010","Shared_008","different F1 sex and ages","diffetent types of measure methods",85.0420064195168,37.7964473122617,0.581029882007806,0.0379615538501651,0.229900333819634,0.204628220516832,-1.63495467455704,-1.05392479254924,0.0522412898451941,0.0338493891737169,"genes"
"395","Aksu_2012",2012,"Materl treadmill exercise during pregncy decreases anxiety and increases prefrontal cortex VEGF and BDNF levels of rat pups in early and late periods of life","Neuroscience Letters","rats","Wistar","female",NA,NA,7,7,NA,"22","12","treadmill-running","forced","6.7m/min; 30min/day",21,"pregnancy",NA,NA,NA,"female","control female(con)-Materl exercise-female(exp)","fig.2C.png","prefrontal cortex",26,"adolescence","immunohistochemistry","VEGF","VEGF","immunostaining scores",2.762711864,0.220338983,7,1.491525424,0.288135593,7,1,"no","Cohort_007","Shared_005","different F1 sex and ages","diffetent types of measure methods",0.582962153150889,0.762335122944123,0.616413385999498,0.0436800112212002,-0.884677372060242,0.210346677887867,-1.20424844950702,-0.587835063507524,0.039309614702761,0.0183715342661809,"genes"
"396","Aksu_2012",2012,"Materl treadmill exercise during pregncy decreases anxiety and increases prefrontal cortex VEGF and BDNF levels of rat pups in early and late periods of life","Neuroscience Letters","rats","Wistar","female",NA,NA,7,7,NA,"22","12","treadmill-running","forced","6.7m/min; 30min/day",21,"pregnancy",NA,NA,NA,"male","control male(con)-Materl exercise-male(exp)","fig.2A.png","prefrontal cortex",26,"adolescence","immunohistochemistry","VEGF","VEGF","immunostaining scores",2.762711864,0.220338983,7,1.491525424,0.305084746,7,1,"no","Cohort_008","Shared_006","different F1 sex and ages","diffetent types of measure methods",0.582962153150889,0.807178366715308,0.616413385999498,0.0481996394408893,-0.941835787442674,0.214866306107556,-1.14709003412459,-0.530676648125092,0.0373974654173687,0.0168746320910265,"genes"
"397","Aksu_2012",2012,"Materl treadmill exercise during pregncy decreases anxiety and increases prefrontal cortex VEGF and BDNF levels of rat pups in early and late periods of life","Neuroscience Letters","rats","Wistar","female",NA,NA,7,7,NA,"22","12","treadmill-running","forced","6.7m/min; 30min/day",21,"pregnancy",NA,NA,NA,"female","control female(con)-Materl exercise-female(exp)","fig.2A.png","prefrontal cortex",120,"adulthood","immunohistochemistry","VEGF","VEGF","immunostaining scores",2.389830508,0.237288136,7,1.186440678,0.220338983,7,1,"no","Cohort_009","Shared_007","different F1 sex and ages","diffetent types of measure methods",0.627805396922073,0.582962153150889,0.700264648101656,0.0443484549593707,-0.626156674002879,0.211015121626037,-1.32752212508783,-0.627257476986173,0.0433001864627044,0.0194958351576847,"genes"
"398","Aksu_2012",2012,"Materl treadmill exercise during pregncy decreases anxiety and increases prefrontal cortex VEGF and BDNF levels of rat pups in early and late periods of life","Neuroscience Letters","rats","Wistar","female",NA,NA,7,7,NA,"22","12","treadmill-running","forced","6.7m/min; 30min/day",21,"pregnancy",NA,NA,NA,"male","control male(con)-Materl exercise-male(exp)","fig.2A.png","prefrontal cortex",120,"adulthood","immunohistochemistry","VEGF","VEGF","immunostaining scores",2.389830508,0.237288136,7,1.186440678,0.203389831,7,1,"no","Cohort_010","Shared_008","different F1 sex and ages","diffetent types of measure methods",0.627805396922073,0.538118912025455,0.700264648101656,0.0392464143012949,-0.546113968976779,0.205913080967962,-1.40756483011393,-0.707300182012274,0.0457760678500472,0.0219574322651738,"genes"
"399","Bicks_2006",2006,"Running in pregncy transiently increases posttal hippocampal neurogenesis in the offspring","PS","mice","C57BL/6","female",NA,NA,16,16,"single",NA,NA,"wheel-running","voluntary",NA,21,"pregnancy","8","8",NA,"mixed","control(con)-runners(exp)","fig.1N.png","hippocampus",-15,"prenantal","RT-PCR","VEGF","VEGF","%actin",3.179487179,0.769230769,5,0.512820513,0.205128205,6,1,"no","Cohort_011","Shared_009","different F1 ages",NA,1.72005228986844,0.502459434103025,1.82454929154782,0.218532778026697,-0.568954229637478,0.443532778026697,-1.74496028978295,0.0795890017648724,0.0669593008673283,0.028004591307832,"genes"
