"ES_ID","study_ID","year","title","journal","species","strain","F0_sex_exercise","age_manipulation_d","age_mating_d","n_con_parent","n_exp_parent","parent_housing","temperature","photoperiod","manipulation_type","manipulation_mode","manipulatoion_intensity","manipulation_duration","manipulation_window","litter_size_con","litter_size_exp","litter_housing","F1_sex_test","comparison","data_source","tissue_measure","response_age_PND","response_age_life_phase","response_test","response_type","measure","unit_measure","exp_mean","exp_se","exp_n","con_mean","con_se","con_n","biological_direction","multi_use_con","cohort_ID","shared_ID","measure_comments","notes","exp_sd","con_sd","RR","VRR","CVR","VCVR","exerciselnCV","controllnCV","exerciseVlnCV","controlVlnCV","grouped_traits"
"61","Muniz_2014",2014,"Active materl phenotype is established before breeding and leads offspring to align growth trajectory outcomes and reflex ontogeny","Physiology & Behavior","rats","Wistar","female",84,204,5,10,NA,"22","12","wheel-running","voluntary",NA,156,"pre-conception to pregnancy","8","8",NA,"mixed","control(con)-ictive(exp)","fig.4D.png","whole brain",21,"early postnatal","digital caliper","brain size","brain length","laterolaeral axis of skull (mm)",21.03703704,0.222222222,6,20.74074074,0.222222222,4,1,"yes","Cohort_087","Shared_080","shared control; three levels of exercise",NA,0.544331053407486,0.444444444,0.014184635168516,0.000226380920866952,0.1218812522189,0.266893047587534,-3.69054810340733,-3.67636346823881,0.158914364019261,0.158759013003896,"brain development"
"62","Muniz_2014",2014,"Active materl phenotype is established before breeding and leads offspring to align growth trajectory outcomes and reflex ontogeny","Physiology & Behavior","rats","Wistar","female",84,204,5,8,NA,"22","12","wheel-running","voluntary",NA,156,"pre-conception to pregnancy","8","8",NA,"mixed","control(con)-active(exp)","fig.4D.png","whole brain",21,"early postnatal","digital caliper","brain size","brain length","laterolaeral axis of skull (mm)",22.22222222,0.222222222,6,20.74074074,0.222222222,4,1,"yes","Cohort_088","Shared_080","shared control; three levels of exercise",NA,0.544331053407486,0.444444444,0.0689928714226657,0.000214795917965955,0.06707301596475,0.266881462584633,-3.74535633966148,-3.67636346823881,0.159322186355907,0.158759013003896,"brain development"
"63","Muniz_2014",2014,"Active materl phenotype is established before breeding and leads offspring to align growth trajectory outcomes and reflex ontogeny","Physiology & Behavior","rats","Wistar","female",84,204,5,8,NA,"22","12","wheel-running","voluntary",NA,156,"pre-conception to pregnancy","8","8",NA,"mixed","control(con)-very active(exp)","fig.4D.png","whole brain",21,"early postnatal","digital caliper","brain size","brain length","laterolaeral axis of skull (mm)",22.2962963,0.148148148,7,20.74074074,0.222222222,4,1,"yes","Cohort_089","Shared_080","shared control; three levels of exercise",NA,0.391963156802791,0.444444444,0.0723206617814535,0.000158945541115581,-0.28131120925524,0.250158945541116,-3.74868413002027,-3.67636346823881,0.15934625550247,0.158759013003896,"brain development"
"64","Mychasiuk_2012",2012,"Parental enrichment and offspring development: modifications to brain, behavior and the epigenome","Behavioural Brain Research","rats","Long-Evans","female",NA,NA,4,4,NA,"21","12","enrichment","voluntary",NA,28,"pre-conception to pregnancy",NA,NA,NA,"male","control male(con)-enrichment materl(exp)","fig.1.png","whole brain",21,"early postnatal","scale","brain size","brain weight percentage","%",3.578947368,0.219298246,4,3.622807018,0.140350877,4,1,"yes","Cohort_096","Shared_087","shared control; different F0 sex and F1 sex","no n info of F1; n of F1 assumpted same with F0; se assumption; no info of se or sd of the graph bar;",0.438596492,0.280701754,-0.0121804188004261,0.00525542445125577,0.458467524563846,0.338588757784589,-2.37886460619512,-2.39104502499555,0.139010496289568,0.13915979826945,"brain development"
"65","Mychasiuk_2012",2012,"Parental enrichment and offspring development: modifications to brain, behavior and the epigenome","Behavioural Brain Research","rats","Long-Evans","male",NA,NA,4,4,NA,"21","12","enrichment","voluntary",NA,28,"pre-conception",NA,NA,NA,"male","control male(con)-enrichment paterl(exp)","fig.1.png","whole brain",21,"early postnatal","scale","brain size","brain weight percentage","%",3.149122807,0.122807018,4,3.422807018,0.140350877,4,1,"yes","Cohort_097","Shared_087","shared control; different F0 sex and F1 sex","no n info of F1; n of F1 assumpted same with F0; se assumption; no info of se or sd of the graph bar;",0.245614036,0.280701754,-0.083337039839568,0.00320216103264141,-0.0501943476956696,0.336535494365975,-2.25091982039131,-2.33425686023088,0.135474252819082,0.1376453505177,"brain development"
"66","Mychasiuk_2012",2012,"Parental enrichment and offspring development: modifications to brain, behavior and the epigenome","Behavioural Brain Research","rats","Long-Evans","female",NA,NA,4,4,NA,"21","12","enrichment","voluntary",NA,28,"pre-conception to pregnancy",NA,NA,NA,"female","control female(con)-enrichment materl(exp)","fig.1.png","whole brain",21,"early postnatal","scale","brain size","brain weight percentage","%",3.842105263,0.201754386,4,3.771929825,0.131578947,4,1,"yes","Cohort_098","Shared_088","shared control; different F0 sex and F1 sex","no n info of F1; n of F1 assumpted same with F0; se assumption; no info of se or sd of the graph bar;",0.403508772,0.263157894,0.018433701531463,0.00397432274047781,0.40901031626939,0.337307656073811,-2.51435486480653,-2.49592116327507,0.142344699046099,0.141763937409789,"brain development"
"67","Mychasiuk_2012",2012,"Parental enrichment and offspring development: modifications to brain, behavior and the epigenome","Behavioural Brain Research","rats","Long-Evans","male",NA,NA,4,4,NA,"21","12","enrichment","voluntary",NA,28,"pre-conception",NA,NA,NA,"female","control female(con)-enrichment paterl(exp)","fig.1.png","whole brain",21,"early postnatal","scale","brain size","brain weight percentage","%",3.271929825,0.157894737,4,3.771929825,0.131578947,4,1,"yes","Cohort_099","Shared_088","shared control; different F0 sex and F1 sex","no n info of F1; n of F1 assumpted same with F0; se assumption; no info of se or sd of the graph bar;",0.315789474,0.263157894,-0.142206789026023,0.0035456479983561,0.324528349619978,0.336878981331689,-2.35371437424904,-2.49592116327507,0.138346282515143,0.141763937409789,"brain development"
"68","Da_Silva_2016",2016,"Materl Exercise during Pregncy Increases BDNF Levels and Cell Numbers in the Hippocampal Formation but Not in the Cerebral Cortex of Adult Rat Offspring","PLoS ONE","rats","Wistar","female",NA,NA,NA,NA,NA,NA,NA,"treadmill-running","forced",NA,20,"pregnancy",NA,NA,NA,"male","EX(exp)-CTL(con)","text p.3-4","cortex",60,"adolescence","scale","brain size","weight","g",0.591,0.033,7,0.505,0.062,7,1,"no","Cohort_025","Shared_023","different tissues",NA,0.0873097932651315,0.164036581286005,0.157257588130738,0.018190865547912,-0.78788441170935,0.184857532214579,-1.19839322450002,-1.04113563636928,0.0391153409931359,0.0334040110248007,"brain development"
"69","Da_Silva_2016",2016,"Materl Exercise during Pregncy Increases BDNF Levels and Cell Numbers in the Hippocampal Formation but Not in the Cerebral Cortex of Adult Rat Offspring","PLoS ONE","rats","Wistar","female",NA,NA,NA,NA,NA,NA,NA,"treadmill-running","forced",NA,20,"pregnancy",NA,NA,NA,"male","EX(exp)-CTL(con)","text p.3-4","hippocampus",60,"adolescence","scale","brain size","weight","g",0.083,0.005,7,0.075,0.001,7,1,"no","Cohort_025","Shared_023","different tissues",NA,0.013228756555323,0.00264575131106459,0.101352494260288,0.003806751504008,1.50808541817381,0.170473418170675,-3.36255219993561,-3.26119970567532,0.0771362723850837,0.0764517156371481,"brain development"
"70","Sanches_2017",2017,"Pregncy swimming causes short- and long-term neuroprotection against hypoxia-ischemia in very immature rats","Pediatric Research","rats","Wistar","female",NA,NA,NA,NA,NA,NA,NA,"swimming","forced",NA,20,"pregnancy",NA,NA,NA,"mixed","SESH(con)-SWSH(exp)","table3","right hippocampus",60,"adolescence","The Cavalieri method volume measurement","brain size","volume","mm3",23.69,4.41,5,24.12,4.46,5,1,"no","Cohort_046","Shared_042","n of F1 assumed; n =4-7",NA,9.86105978077407,9.97286317964906,-0.0179883536882905,0.068844756612428,0.00671427711507266,0.318844756612428,-0.740185295921671,-0.758173649609962,0.0390671869282037,0.0392877328043449,"brain development"
