"ES_ID","study_ID","year","title","journal","species","strain","F0_sex_exercise","age_manipulation_d","age_mating_d","n_con_parent","n_exp_parent","parent_housing","temperature","photoperiod","manipulation_type","manipulation_mode","manipulatoion_intensity","manipulation_duration","manipulation_window","litter_size_con","litter_size_exp","litter_housing","F1_sex_test","comparison","data_source","tissue_measure","response_age_PND","response_age_life_phase","response_test","response_type","measure","unit_measure","exp_mean","exp_se","exp_n","con_mean","con_se","con_n","biological_direction","multi_use_con","cohort_ID","shared_ID","measure_comments","notes","exp_sd","con_sd","RR","VRR","CVR","VCVR","exerciselnCV","controllnCV","exerciseVlnCV","controlVlnCV","grouped_traits"
"147","Cutuli_2015",2015,"Pre-reproductive materl enrichment influences rat materl care and offspring developmental trajectories: behavioral performances and neuroplasticity correlates","Frontiers in Behavioral Neuroscience","rats","Wistar","female",21,77,10,10,"group (10/cage)",NA,"12","enrichment","voluntary",NA,49,"pre-conception","24","24",NA,"male","EF-P(exp)-SF-P(con)","fig.7B.png","whole animal",55,"adolescence","MWM","learning(MWM)","distance(learning)","cm",330.7692308,69.23076923,12,792.3076923,53.84615385,12,-1,"no","Cohort_012","Shared_010","different types of measures",NA,239.822419506872,186.528548520741,0.873528872433341,0.0484261834401616,1.12484330063171,0.139335274349252,-0.527382096311297,-1.40091096874464,0.00866635355933119,0.0234985346306709,"behavior"
"148","DastAmooz_2018",2018,"Physical activity as an option to reduce adverse effect of EMF exposure during pregncy","Intertiol Jourl of Developmental Neuroscience","rats","Wistar","female",NA,NA,10,10,NA,"23","12","swimming","forced","10min",21,"pregnancy",NA,NA,NA,"mixed","Control(con)-PA(exp)","fig.3B.png","whole animal",58,"adolescence","MWM","learning(MWM)","latency distance(learning)","cm",585.7142857,33.33333333,7,614.2857143,38.0952381,7,-1,"no","Cohort_023","Shared_021","different types of measures",NA,88.1917103600005,100.790526148393,0.0476280490369007,0.00708473559721679,-0.0859033438126221,0.173751402263883,-1.6764544056822,-1.7240824547191,0.0533259446420482,0.0543448584984494,"behavior"
"149","Moser_2017",2017,"Impacts of materl diet and exercise on offspring behavior and body weights","Neurotoxicology and Teratology","rats","Long-Evans","female",NA,NA,13,14,NA,NA,NA,"wheel-running","voluntary",NA,21,"pregnancy",NA,NA,"single","male","CDSED (con)-CDRW (exp)","fig.2A.png","whole animal",83,"adulthood","MWM","learning(MWM)","latency distance(learning)","m",5.852941176,0.411764706,12,6.352941176,0.470588235,12,-1,"no","Cohort_032","Shared_030","n of F1 assumed;n=11-14",NA,1.42639478311132,1.63016546492833,0.0819735829660005,0.0104363384129146,-0.051557808747808,0.101345429322006,-1.23280823268076,-1.31478181564676,0.0206607127021679,0.0219764634376268,"behavior"
"150","Akhavan_2008",2008,"Serotonergic and noradrenergic lesions suppress the enhancing effect of materl exercise during pregncy on learning and memory in rat pups","Neuroscience","rats","Wistar","female",NA,NA,36,36,NA,"22-24","12","swimming","forced","10min",21,"pregnancy","8","8",NA,"mixed","sedentary(con)-V.exercise(exp)","fig.2A.png","whole animal",42,"adolescence","MWM","learning(MWM)","latency time(learning)","sec",18.51239669,2.575206612,8,36.69421488,2.975206612,8,-1,"yes","Cohort_003","Shared_002","shared control; two levels of exercise",NA,7.28378423320654,8.41515508310501,0.684178510912972,0.0259249389189022,0.539794793481845,0.168782081776045,-0.716977770758317,-1.40115628167129,0.0189326400227612,0.0382584077325949,"behavior"
"151","Akhavan_2008",2008,"Serotonergic and noradrenergic lesions suppress the enhancing effect of materl exercise during pregncy on learning and memory in rat pups","Neuroscience","rats","Wistar","female",NA,NA,36,36,NA,"22-24","12","swimming","forced","10min",21,"pregnancy","8","8",NA,"mixed","sedentary(con)-V.exercise(exp)","fig.2B.png","whole animal",42,"adolescence","MWM","learning(MWM)","latency time(learning)","sec",22.42990654,1.595327103,8,22.61682243,2.056074766,8,-1,"yes","Cohort_003","Shared_002","shared control; two levels of exercise",NA,4.51226645096796,5.81545763866058,0.00829880291049391,0.0133232284341662,-0.245421113345723,0.156180371291309,-1.27844712779625,-1.28674593070674,0.0351570825182559,0.0351312372750037,"behavior"
"152","Akhavan_2013",2013,"Materl Voluntary Exercise during Pregncy Enhances the Spatial Learning Acquisition but not the Retention of Memory in Rat Pups via a TrkB-mediated Mechanism: The Role of Hippocampal BDNF Expression","Iranian Jourl of Basic Medical Sciences","rats","Wistar","female",NA,NA,20,20,"single","22-24","12","wheel-running","voluntary","100g",21,"pregnancy",NA,NA,NA,"male","Sed/Cyt(con)-Exc/Cyt(exp)","fig.4.png","whole animal",59,"adolescence","MWM","learning(MWM)","latency time(learning)","sec",14.85714286,2,7,25.42857143,1.428571429,7,-1,"no","Cohort_006","Shared_004",NA,NA,5.29150262212918,3.77964473122617,0.537392651014585,0.0212774689203296,0.873864887335797,0.187944135586996,-1.28551739817864,-1.82291004919323,0.0419631020489161,0.0567448566272648,"behavior"
"153","Cutuli_2015",2015,"Pre-reproductive materl enrichment influences rat materl care and offspring developmental trajectories: behavioral performances and neuroplasticity correlates","Frontiers in Behavioral Neuroscience","rats","Wistar","female",21,77,10,10,"group (10/cage)",NA,"12","enrichment","voluntary",NA,49,"pre-conception","24","24",NA,"male","EF-P(exp)-SF-P(con)","fig.7A.png","whole animal",55,"adolescence","MWM","learning(MWM)","latency time(learning)","sec",16.53846154,5.384615385,12,29.61538462,6.538461538,12,-1,"no","Cohort_012","Shared_010","different types of measures",NA,18.6528548520741,22.6498951743019,0.582605306222942,0.154746709298523,0.388449291924001,0.245655800207614,0.359921098547587,-0.222684207675355,0.0480533837311627,0.00786711257968055,"behavior"
"154","Dayi_2012",2012,"Materl aerobic exercise during pregncy can increase spatial learning by affecting leptin expression on offspring's early and late period in life depending on gender","The Scientific World Jourl","rats","Wistar","female",NA,NA,7,7,NA,"23","12","treadmill-running","forced","8m/min; 30min/day",21,"pregnancy",NA,NA,NA,"female","F(con)-FE(exp)","fig.1a.png","whole animal",21,"early postnatal","MWM","learning(MWM)","latency time(learning)","sec",21.15384615,1.923076923,7,18.84615385,2.307692308,7,-1,"no","Cohort_019","Shared_017","different F1 sex, and F1 ages",NA,5.08798329030531,6.10557994942467,-0.115512886735944,0.0232582154132219,-0.297834443703232,0.189924882079889,-1.15928530782827,-1.04377242109233,0.0378082414262024,0.0334959030147308,"behavior"
"155","Dayi_2012",2012,"Materl aerobic exercise during pregncy can increase spatial learning by affecting leptin expression on offspring's early and late period in life depending on gender","The Scientific World Jourl","rats","Wistar","female",NA,NA,7,7,NA,"23","12","treadmill-running","forced","8m/min; 30min/day",21,"pregnancy",NA,NA,NA,"male","M(con)-ME(exp)","fig.1a.png","whole animal",21,"early postnatal","MWM","learning(MWM)","latency time(learning)","sec",18.84615385,1.153846154,7,32.69230769,4.230769231,7,-1,"no","Cohort_020","Shared_018","different F1 sex, and F1 ages",NA,3.05278997471234,11.19356323973,0.55083095810502,0.0204958429987221,-0.748452025946453,0.187162509665389,-0.437636617600802,-0.988467575705822,0.015556618823038,0.0315630762200714,"behavior"
"156","Dayi_2012",2012,"Materl aerobic exercise during pregncy can increase spatial learning by affecting leptin expression on offspring's early and late period in life depending on gender","The Scientific World Jourl","rats","Wistar","female",NA,NA,7,7,NA,"23","12","treadmill-running","forced","8m/min; 30min/day",21,"pregnancy",NA,NA,NA,"female","F(con)-FE(exp)","fig.1a.png","whole animal",120,"adulthood","MWM","learning(MWM)","latency time(learning)","sec",10.76923077,1.153846154,7,13.84615385,1.153846154,7,-1,"no","Cohort_021","Shared_019","different F1 sex, and F1 ages",NA,3.05278997471234,3.05278997471234,0.251314428487255,0.0184240362805942,0.251314428487255,0.185090702947261,-1.1773038135842,-1.42861824207145,0.0384124696527329,0.0461565560698761,"behavior"
