"ES_ID","study_ID","year","title","journal","species","strain","F0_sex_exercise","age_manipulation_d","age_mating_d","n_con_parent","n_exp_parent","parent_housing","temperature","photoperiod","manipulation_type","manipulation_mode","manipulatoion_intensity","manipulation_duration","manipulation_window","litter_size_con","litter_size_exp","litter_housing","F1_sex_test","comparison","data_source","tissue_measure","response_age_PND","response_age_life_phase","response_test","response_type","measure","unit_measure","exp_mean","exp_se","exp_n","con_mean","con_se","con_n","biological_direction","multi_use_con","cohort_ID","shared_ID","measure_comments","notes","exp_sd","con_sd","RR","VRR","CVR","VCVR","exerciselnCV","controllnCV","exerciseVlnCV","controlVlnCV","grouped_traits"
"277","Cutuli_2015",2015,"Pre-reproductive materl enrichment influences rat materl care and offspring developmental trajectories: behavioral performances and neuroplasticity correlates","Frontiers in Behavioral Neuroscience","rats","Wistar","female",21,77,10,10,"group (10/cage)",NA,"12","enrichment","voluntary",NA,49,"pre-conception","24","24",NA,"male","EF-P(exp)-SF-P(con)","fig.B8.png","whole animal",35,"adolescence","NOR","memory(NOR)","discrimition index","%",85.71428571,3.296703297,12,77.47252747,7.142857143,12,1,"no","Cohort_012","Shared_010",NA,NA,11.4201152157677,24.7435829657645,0.101096116853993,0.00997986838386556,-0.874286005017475,0.100888959292956,-1.19699877936945,-1.09590266251546,0.020001047811686,0.0179028802167485,"behavior"
"278","Robinson_2014",2014,"Physical exercise during pregncy improves object recognition memory in adult offspring","Neuroscience","rats","Long-Evans","female",NA,NA,3,2,NA,NA,"14","wheel-running","voluntary",NA,21,"pregnancy","11","10",NA,"male","NX(con)-EX(exp)","table1","whole animal",60,"adolescence","NOR","memory(NOR)","exploring time in novel object","sec",13.2,2.1,11,13,1.5,10,1,"no","Cohort_044","Shared_040","indenpendent experiments","different F1 ages",6.96491205974634,4.74341649025257,0.0152674721307884,0.0386235268228275,0.363304298837032,0.144179082378383,-0.967903619431582,-0.952636147300794,0.019627043296527,0.0189886357815046,"behavior"
"279","Robinson_2014",2014,"Physical exercise during pregncy improves object recognition memory in adult offspring","Neuroscience","rats","Long-Evans","female",NA,NA,3,2,NA,NA,"14","wheel-running","voluntary",NA,21,"pregnancy","11","10",NA,"male","NX(con)-EX(exp)","table1","whole animal",74,"adulthood","NOR","memory(NOR)","exploring time in novel object","sec",6.15,0.9,11,9.1,0.9,10,1,"no","Cohort_044","Shared_040","indenpendent experiments","different F1 ages",2.98496231131986,2.84604989415154,-0.391822331704378,0.0311972512781817,0.433921866050985,0.136752806833737,-0.714964495423674,-1.10678682712805,0.014072754370017,0.0225822435695377,"behavior"
"280","Robinson_2014",2014,"Physical exercise during pregncy improves object recognition memory in adult offspring","Neuroscience","rats","Long-Evans","female",NA,NA,3,2,NA,NA,"14","wheel-running","voluntary",NA,21,"pregnancy","11","10",NA,"male","NX(con)-EX(exp)","table1","whole animal",88,"adulthood","NOR","memory(NOR)","exploring time in novel object","sec",2.9,1.3,5,4.2,1.6,5,1,"no","Cohort_044","Shared_040","indenpendent experiments","different F1 ages",2.90688837074973,3.57770876399966,-0.370373788296894,0.346075965066962,0.16273442351865,0.596075965066962,0.335011848470358,-0.0353619398265368,0.0736969548454139,0.0230973336429696,"behavior"
"281","Robinson_2014",2014,"Physical exercise during pregncy improves object recognition memory in adult offspring","Neuroscience","rats","Long-Evans","female",NA,NA,3,2,NA,NA,"14","wheel-running","voluntary",NA,21,"pregnancy","11","10",NA,"male","NX(con)-EX(exp)","fig.1.png","whole animal",60,"adolescence","NOR","memory(NOR)","discrimition index","%",68.14814815,4.444444444,11,54.81481481,5.555555556,10,1,"no","Cohort_045","Shared_041","indenpendent experiments","different F1 ages",14.7405546223277,17.5682092245631,0.217723483959882,0.0145254045516558,-0.398767501107485,0.120080960107211,-1.30003745440137,-1.08231397044149,0.0271627132403812,0.0220136735845852,"behavior"
"282","Robinson_2014",2014,"Physical exercise during pregncy improves object recognition memory in adult offspring","Neuroscience","rats","Long-Evans","female",NA,NA,3,2,NA,NA,"14","wheel-running","voluntary",NA,21,"pregnancy","11","10",NA,"male","NX(con)-EX(exp)","fig.1.png","whole animal",74,"adulthood","NOR","memory(NOR)","discrimition index","%",62.96296296,4.074074074,11,54.44444444,4.814814815,10,1,"no","Cohort_045","Shared_041","indenpendent experiments","different F1 ages",13.5121750715726,15.2257813273222,0.145365850306099,0.0120076666141833,-0.270320400679302,0.117563222169739,-1.36400097745063,-1.21863512714453,0.0285356915381757,0.0251459426462838,"behavior"
"283","Robinson_2014",2014,"Physical exercise during pregncy improves object recognition memory in adult offspring","Neuroscience","rats","Long-Evans","female",NA,NA,3,2,NA,NA,"14","wheel-running","voluntary",NA,21,"pregnancy","11","10",NA,"male","NX(con)-EX(exp)","fig.1.png","whole animal",88,"adulthood","NOR","memory(NOR)","discrimition index","%",70.37037037,3.333333333,5,36.2962963,17.03703704,5,1,"no","Cohort_045","Shared_041","indenpendent experiments","different F1 ages",7.45355992425394,38.0959729566218,0.66205659338261,0.222568631983998,-2.2934734128094,0.472568631983998,-0.488663719275165,0.173392874107446,0.0275270545755215,0.0409518392778858,"behavior"
"284","Sanches_2018",2018,"Brain Metabolism Alterations Induced by Pregncy Swimming Decreases Neurological Impairments Following Neotal Hypoxia-Ischemia in Very Immature Rats","Frontiers in Neurology","rats","Wistar","female",NA,NA,8,12,"single","22","12","swimming","forced","20min",21,"pregnancy",NA,NA,NA,"mixed","SESH(con)-SWSH(exp)","table3","whole animal",45,"adolescence","NOR","memory(NOR)","discrimition index","%",36,6,12,33,8,12,1,"no","Cohort_048","Shared_044","n of F1 assumed;n=8-16",NA,20.7846096908265,27.712812921102,0.0870113769896297,0.0865472910927456,-0.374693449441411,0.177456382001837,-0.216169526427728,-0.129158149438099,0.00844274927457273,0.00942934811829275,"behavior"
"285","Klein_2019",2019,"Physical Exercise During Pregncy Prevents Cognitive Impairment Induced by Amyloid-¦Â in Adult Offspring Rats","Molecular Neurobiology","rats","Wistar","female",NA,NA,27,27,NA,"22","12","swimming","forced","30min",35,"pre-conception to pregnancy",NA,NA,"grouped","male","sedentary vehicle(con)-materl exercise(exp)","fig.2b.png","whole animal",96,"adulthood","NOR","memory(NOR)","exploring time in novel object","sec",66.08695652,2.173913043,13,62.17391304,0.869565217,13,1,"no","Cohort_059","Shared_054","different types of measures",NA,7.83815494493645,3.13526197725347,0.0610358906159974,0.00127767229855502,0.855254841488158,0.0846110056318884,-3.00659199531258,-2.94555610469658,0.0369421124432381,0.0366261776221737,"behavior"
"286","Klein_2019",2019,"Physical Exercise During Pregncy Prevents Cognitive Impairment Induced by Amyloid-¦Â in Adult Offspring Rats","Molecular Neurobiology","rats","Wistar","female",NA,NA,27,27,NA,"22","12","swimming","forced","30min",35,"pre-conception to pregnancy",NA,NA,"grouped","male","sedentary vehicle(con)-materl exercise(exp)","fig.2c.png","whole animal",96,"adulthood","NOR","memory(NOR)","discrimition index","%",66.5,2,13,63,1,13,1,"no","Cohort_059","Shared_054","different types of measures",NA,7.21110255092798,3.60555127546399,0.0540672212702758,0.00115646956433132,0.63907995928967,0.0844898028976647,-2.87306060226437,-2.8189933809941,0.0362954422775086,0.0359760640487183,"behavior"
