"ES_ID","study_ID","year","title","journal","species","strain","F0_sex_exercise","age_manipulation_d","age_mating_d","n_con_parent","n_exp_parent","parent_housing","temperature","photoperiod","manipulation_type","manipulation_mode","manipulatoion_intensity","manipulation_duration","manipulation_window","litter_size_con","litter_size_exp","litter_housing","F1_sex_test","comparison","data_source","tissue_measure","response_age_PND","response_age_life_phase","response_test","response_type","measure","unit_measure","exp_mean","exp_se","exp_n","con_mean","con_se","con_n","biological_direction","multi_use_con","cohort_ID","shared_ID","measure_comments","notes","exp_sd","con_sd","RR","VRR","CVR","VCVR","exerciselnCV","controllnCV","exerciseVlnCV","controlVlnCV","grouped_traits"
"206","Akhavan_2008",2008,"Serotonergic and noradrenergic lesions suppress the enhancing effect of materl exercise during pregncy on learning and memory in rat pups","Neuroscience","rats","Wistar","female",NA,NA,36,36,NA,"22-24","12","wheel-running","voluntary","100g",21,"pregnancy","8","8",NA,"mixed","Sedentary(con)-V.exercise (exp)","fig.7","CA1",0,"prenantal","Hematoxylin and eosin (H&E) staining","neuron count","neuron count","cell count",47.82608696,0.459855072,6,41.73913043,0.869565217,6,1,"yes","Cohort_001","Shared_001","shared control; two levels of exercise;different tissues","se assumed; hard to distinguish mean and se",1.12641028203082,2.12999107972253,0.136132174511891,0.000526478915946015,-0.773214131697396,0.200526478915946,-3.01145345114117,-2.87532127662928,0.0898460882302618,0.0883509335832914,"brain development"
"207","Akhavan_2008",2008,"Serotonergic and noradrenergic lesions suppress the enhancing effect of materl exercise during pregncy on learning and memory in rat pups","Neuroscience","rats","Wistar","female",NA,NA,36,36,NA,"22-24","12","swimming","forced","10min/day",21,"pregnancy","8","8",NA,"mixed","Sedentary(con)-F.swmming (exp)","fig.7","CA1",0,"prenantal","Hematoxylin and eosin (H&E) staining","neuron count","neuron count","cell count",51.5942029,0.579710145,6,41.73913043,0.869565217,6,1,"yes","Cohort_002","Shared_001","shared control; two levels of exercise;different tissues","se assumed; hard to distinguish mean and se",1.41999405396485,2.12999107972253,0.211970250858758,0.000560274463535578,-0.617435358391922,0.200560274463536,-3.08729152748804,-2.87532127662928,0.0905652859614157,0.0883509335832914,"brain development"
"208","Akhavan_2008",2008,"Serotonergic and noradrenergic lesions suppress the enhancing effect of materl exercise during pregncy on learning and memory in rat pups","Neuroscience","rats","Wistar","female",NA,NA,36,36,NA,"22-24","12","wheel-running","voluntary",NA,21,"pregnancy","8","8",NA,"mixed","Sedentary(con)-V.exercise (exp)","fig.7","DG",0,"prenantal","Hematoxylin and eosin (H&E) staining","neuron count","neuron count","cell count",39.13043479,0.389855072,6,31.30434783,0.439710145,6,1,"yes","Cohort_001","Shared_001","shared control; two levels of exercise;different tissues","se assumed; hard to distinguish mean and se",0.954946000035997,1.0770654899752,0.223143551378099,0.000296559070386766,-0.343484240045082,0.200296559070387,-3.4926603434821,-3.269516792104,0.0936464676895339,0.0920506078176716,"brain development"
"209","Akhavan_2008",2008,"Serotonergic and noradrenergic lesions suppress the enhancing effect of materl exercise during pregncy on learning and memory in rat pups","Neuroscience","rats","Wistar","female",NA,NA,36,36,NA,"22-24","12","swimming","forced","10min/day",21,"pregnancy","8","8",NA,"mixed","Sedentary(con)-F.swmming (exp)","fig.7","DG",0,"prenantal","Hematoxylin and eosin (H&E) staining","neuron count","neuron count","cell count",42.60869566,0.379710145,6,31.30434783,0.439710145,6,1,"yes","Cohort_002","Shared_001","shared control; two levels of exercise;different tissues","se assumed; hard to distinguish mean and se",0.930096105408213,1.0770654899752,0.30830135971319,0.000276714423740897,-0.455008922840485,0.200276714423741,-3.57781815181719,-3.269516792104,0.0941556570075404,0.0920506078176716,"brain development"
"210","Akhavan_2008",2008,"Serotonergic and noradrenergic lesions suppress the enhancing effect of materl exercise during pregncy on learning and memory in rat pups","Neuroscience","rats","Wistar","female",NA,NA,36,36,NA,"22-24","12","wheel-running","voluntary",NA,21,"pregnancy","8","8",NA,"mixed","Sedentary(con)-V.exercise (exp)","fig.7","Sub",0,"prenantal","Hematoxylin and eosin (H&E) staining","neuron count","neuron count","cell count",40.86956522,0.579710145,6,41.73913044,0.489855072,6,1,"yes","Cohort_001","Shared_001","shared control; two levels of exercise;different tissues","se assumed; hard to distinguish mean and se",1.41999405396485,1.19989497431432,-0.0210534092590025,0.000338933426622866,0.189472061955711,0.200338933426623,-3.42815162783973,-3.44920503709874,0.0932320755823472,0.0933309265793325,"brain development"
"211","Akhavan_2008",2008,"Serotonergic and noradrenergic lesions suppress the enhancing effect of materl exercise during pregncy on learning and memory in rat pups","Neuroscience","rats","Wistar","female",NA,NA,36,36,NA,"22-24","12","swimming","forced","10min/day",21,"pregnancy","8","8",NA,"mixed","Sedentary(con)-F.swmming (exp)","fig.7","Sub",0,"prenantal","Hematoxylin and eosin (H&E) staining","neuron count","neuron count","cell count",42.02898551,0.289855072,6,41.73913044,0.489855072,6,1,"yes","Cohort_002","Shared_001","shared control; two levels of exercise;different tissues","se assumed; hard to distinguish mean and se",0.70999702575768,1.19989497431432,0.00692044278509097,0.000185298729242387,-0.531648972373328,0.200185298729242,-3.45612547988383,-3.44920503709874,0.0934149232422358,0.0933309265793325,"brain development"
"212","Akhavan_2012",2012,"Pretal exposure to materl voluntary exercise during pregncy provides protection against mild chronic posttal hypoxia in rat offspring","Pakistan Jourl of Pharmaceutical Sciences","rats","Wistar","female",NA,NA,16,16,NA,"22-24","12","wheel-running","voluntary","100g",21,"pregnancy","7","7","with dam","mixed","Sed-Control (con)-V.Exer(exp)","fig.1","CA1-CA2",36,"adolescence","Cresyl fast violet labeling","neuron count","neuron count","cell count",44.41860465,0.465116279,7,40.93023256,0.23255814,7,1,"no","Cohort_005","Shared_003","different tissues","se assumed; hard to distinguish mean and se",1.23058200496173,0.615291003803743,0.0817894329368455,0.00014192917510716,0.6113577454731,0.166808595841774,-4.19598501815946,-4.11419558522262,0.0806047016557054,0.0803573512686854,"brain development"
"213","Akhavan_2012",2012,"Pretal exposure to materl voluntary exercise during pregncy provides protection against mild chronic posttal hypoxia in rat offspring","Pakistan Jourl of Pharmaceutical Sciences","rats","Wistar","female",NA,NA,16,16,NA,"22-24","12","wheel-running","voluntary","100g",21,"pregnancy","7","7","with dam","mixed","Sed-Control (con)-V.Exer(exp)","fig.1","CA3",36,"adolescence","Cresyl fast violet labeling","neuron count","neuron count","cell count",34.41860465,0.465116279,7,30,0.23255814,7,1,"no","Cohort_005","Shared_003","different tissues","se assumed; hard to distinguish mean and se",1.23058200496173,0.615291003803743,0.137399869368659,0.000242707590193311,0.555747309041286,0.16690937425686,-3.94092386386934,-3.80352399450068,0.0798222016052106,0.0792891261737161,"brain development"
"214","Akhavan_2012",2012,"Pretal exposure to materl voluntary exercise during pregncy provides protection against mild chronic posttal hypoxia in rat offspring","Pakistan Jourl of Pharmaceutical Sciences","rats","Wistar","female",NA,NA,16,16,NA,"22-24","12","wheel-running","voluntary","100g",21,"pregnancy","7","7","with dam","mixed","Sed-Control (con)-V.Exer(exp)","fig.1","SUB",36,"adolescence","Cresyl fast violet labeling","neuron count","neuron count","cell count",40.93023256,0.465116279,7,40.69767442,0.465116279,7,1,"no","Cohort_005","Shared_003","different tissues","se assumed; hard to distinguish mean and se",1.23058200496173,1.23058200496173,0.00569802112580654,0.000259744476204299,-0.00569802112580649,0.166926411142871,-3.42104840681267,-3.41535038568686,0.0774805990718137,0.0774130351730443,"brain development"
"215","Akhavan_2012",2012,"Pretal exposure to materl voluntary exercise during pregncy provides protection against mild chronic posttal hypoxia in rat offspring","Pakistan Jourl of Pharmaceutical Sciences","rats","Wistar","female",NA,NA,16,16,NA,"22-24","12","wheel-running","voluntary","100g",21,"pregnancy","7","7","with dam","mixed","Sed-Control (con)-V.Exer(exp)","fig.1","DG",36,"adolescence","Cresyl fast violet labeling","neuron count","neuron count","cell count",37.44186046,0.465116279,7,30.46511628,0.465116279,7,1,"no","Cohort_005","Shared_003","different tissues","se assumed; hard to distinguish mean and se",1.23058200496173,1.23058200496173,0.206207041616131,0.000387401684016043,-0.206207041616131,0.167054068350683,-3.33196877657688,-3.12576173496075,0.0769484651194121,0.0754831427244077,"brain development"
