Traits,Model,Random effects,AIC,p-value,N-levels,Variance
Brain development,Full structure,trait category,198.3,0,2,0.0142
 ,,strain, , ,4,0
 ,,between-study, , ,29,0.1112
 ,,within-study, , ,95,0.3308
 ,Reduced structure,, , , , 
 ,trait category removed,strain,196.7,0.5058,4,0
 ,,between-study, , ,29,0.1167
 ,,within-study, , ,95,0.3356
 ,Reduced structure,, , , , 
 ,between-study removed,strain,196.3,1,2,0.0329
 ,,between-study, , ,4,0
 ,,within-study, , ,95,0.4762
 ,Reduced structure,, , , , 
 ,strain removed,strain,212.7,1.00E-04,2,0.0142
 ,,between-study, , ,29,0.1112
 ,,within-study, , ,95,0.3308
 ,Reduced structure,, , , , 
 ,within-study removed,strain,23782.8,0,2,0.1031
 ,,between-study, , ,4,0
 ,,within-study, , ,29,0.3457
 ,Reduced structure,, , , , 
 ,trait category removed,strain,212.8,1.00E-04,4,0
 ,between-study removed,within-study, , ,95,0.502
 ,Reduced structure,, , , , 
 ,trait category removed,between-study,194.7,0.8014,29,0.1167
 ,strain removed,within-study, , ,95,0.3356
