"Traits","Model","Random effects","AIC","p-value","N-levels","Variance"
"Growth factors","Full structure","trait category","308.6","0","6","0"
" "," ","strain"," "," ","3","0.0106"
" "," ","between-study"," "," ","28","0.0398"
" "," ","within-study"," "," ","131","0.0152"
" ","Reduced structure"," "," "," "," "," "
" ","response_type removed","strain","306.6","1","3","0.0106"
" "," ","between-study"," "," ","28","0.0398"
" "," ","within-study"," "," ","131","0.0152"
" ","Reduced structure"," "," "," "," "," "
" ","study ID removed","strain","309.1","0.1164","6","0.0021"
" "," ","between-study"," "," ","3","0.0021"
" "," ","within-study"," "," ","131","0.0351"
" ","Reduced structure"," "," "," "," "," "
" ","strain removed","strain","306.6","1","6","0"
" "," ","between-study"," "," ","28","0.0451"
" "," ","within-study"," "," ","131","0.0155"
" ","Reduced structure"," "," "," "," "," "
" ","effect size ID removed","strain","471.8","0","6","0"
" "," ","between-study"," "," ","3","0.0174"
" "," ","within-study"," "," ","28","0.0457"
" ","Reduced structure"," "," "," "," "," "
" ","response_type removed","strain","304.6","1","3","8e-04"
" ","study ID removed","within-study"," "," ","131","0.0361"
" ","Reduced structure"," "," "," "," "," "
" ","response_type removed","between-study","307.1","0.2915","28","0.0451"
" ","strain ID removed","within-study"," "," ","131","0.0155"
