"Traits","Model","Moderator","Effect size","Estimate","Fixed effects"," "," "," "," "
,,,,,"Mean","CI.lb","CI.ub","k","n"
"Neurobehavior","Non-contrast","Male F1","lnRR","Intercept","0.185","0.074","0.297","93","1596"
,,,"lnCVR","Intercept","-0.134","-0.249","-0.019","93","1596"
,,,,,,,,,
,,"Female F1","lnRR","Intercept","0.152","-0.022","0.326","34","633"
,,,"lnCVR","Intercept","0.067","-0.122","0.255","34","633"
,,,,,,,,,
,,"Mixed-sex F1","lnRR","Intercept","0.24","0.054","0.426","39","515"
,,,"lnCVR","Intercept","-0.212","-0.406","-0.017","39","515"
,,,,,,,,,
"Brain development",,"Male F0","lnRR","Intercept","0.141","-0.019","0.301","34","345"
,,,"lnCVR","Intercept","-0.293","-0.575","-0.01","34","345"
,,,,,,,,,
,,"Female F0","lnRR","Intercept","0.119","-0.047","0.285","19","202"
,,,"lnCVR","Intercept","-0.009","-0.37","0.352","19","202"
,,,,,,,,,
,,"Mixed-sex F1","lnRR","Intercept","0.107","-0.056","0.271","42","650"
,,,"lnCVR","Intercept","0","-0.265","0.266","42","650"
,,,,,,,,,
"Brain growth factors",,"Male F0","lnRR","Intercept","0.236","0.047","0.425","83","696"
,,,"lnCVR","Intercept","0.349","-0.239","0.937","83","696"
,,,,,,,,,
,,"Female F0","lnRR","Intercept","0.215","-0.02","0.449","11","116"
,,,"lnCVR","Intercept","-0.119","-0.854","0.616","11","116"
,,,,,,,,,
,,"Mixed-sex F1","lnRR","Intercept","0.289","0.083","0.494","37","336"
,,,"lnCVR","Intercept","0.313","-0.302","0.927","37","336"
