"Traits","Model","Moderator","Effect size","Estimate","Fixed effects"," "," "," "," "
,,,,,"Mean","CI.lb","CI.ub","k","n"
"Neurobehavior","Non-contrast","Forced exercise","lnRR","Intercept","0.231","0.12","0.342","101","1365"
,,,"lnCVR","Intercept","-0.153","-0.268","-0.039","101","1365"
,,,,,,,,,
,,"Voluntary exercise","lnRR","Intercept","0.129","-0.007","0.266","65","1354"
,,,"lnCVR","Intercept","-0.039","-0.179","0.101","65","1354"
,,,,,,,,,
"Brain development",,"Forced exercise","lnRR","Intercept","0.174","0.057","0.291","56","773"
,,,"lnCVR","Intercept","-0.297","-0.52","-0.074","56","773"
,,,,,,,,,
,,"Voluntary exercise","lnRR","Intercept","0.08","-0.035","0.194","39","425"
,,,"lnCVR","Intercept","0.127","-0.119","0.374","39","425"
,,,,,,,,,
"Brain growth factors",,"Forced exercise","lnRR","Intercept","0.251","0.037","0.466","79","731"
,,,"lnCVR","Intercept","0.31","-0.292","0.912","79","731"
,,,,,,,,,
,,"Voluntary exercise","lnRR","Intercept","0.268","0.03","0.506","52","413"
,,,"lnCVR","Intercept","0.278","-0.349","0.905","52","413"
