"Effect size","Traits","Moderator","df","QM statistic","p-value","QM ratio","R2"
"lnCVR","Neurobehavior","Exercise mode",1,7.14304708185997,0.0281129897455702,0.152,1.194
,,"Exercise timing",3,6.31595083736754,0.176762696961323,0.134,0.638
,,"Exercised sex",1,5.61525957128177,0.0603478603768213,0.117,0.023
,,"Offspring sex",2,10.2418359387923,0.0166184396365712,0.214,3.482
,"Learning-MWM","Offspring ontogenetic stage",2,6.05988903333171,0.10873257086036,0.126,0.362
,,"Exercise mode",1,6.44304254422047,0.0398943219547967,11.708,38.258
,,"Exercise timing",3,2.88644161549132,0.577005410421455,5.502,19.828
,,"Exercised sex",1,0.473090795919178,0.789350046607024,0.871,0.088
,,"Offspring sex",2,1.37554317620051,0.71127742613933,2.48,7.359
,,"Offspring ontogenetic stage",2,3.51689877514056,0.318577011095922,6.452,18.077
,"Memory-MWM","Exercise mode",1,12.7407822549042,0.00171148968403659,35.221,100
,,"Exercise timing",3,8.86541467959268,0.0645529319834702,28.389,35.548
,,"Exercised sex",1,3.21613675479002,0.200274094656094,12.029,14.573
,,"Offspring sex",2,12.3666145412364,0.00622722184955388,34.186,100
,,"Offspring ontogenetic stage",2,13.9598578324771,0.0029603054494974,38.591,100
,"Memory-NOR","Exercise mode",1,0.746961359449228,0.688334284975818,1.656,0.213
,,"Exercise timing",2,4.15054631239096,0.245660012092915,11.428,35.898
,,"Exercised sex",1,1.02824447136615,0.598025289565097,2.338,7.485
,,"Offspring sex",2,1.9224062305707,0.58866671170948,4.233,5.913
,,"Offspring ontogenetic stage",1,1.1565184389191,0.560873875573757,2.648,1.33
,"Anxiety-EPM","Exercise mode",1,1.40366070776957,0.495677208273093,1.351,0.651
,,"Exercise timing",2,2.32896791539322,0.506994149618995,2.355,5.517
,,"Exercised sex",1,1.84171877297155,0.398176706326284,1.835,4.258
,,"Offspring sex",2,2.84722434241743,0.415784834236385,2.925,12.692
,,"Offspring ontogenetic stage",1,0.88334864704299,0.642958997983742,0.857,0.084
,"Anxiety-OFT","Exercise mode",1,1.86311634980825,0.393939405403353,1.081,0.002
,,"Exercise timing",2,2.01558562757993,0.569178159279257,1.177,0.638
,,"Exercised sex",1,1.87528154769974,0.391550502725197,1.089,0.041
,,"Offspring sex",2,4.59108815361512,0.204307919296461,2.728,9.993
,,"Offspring ontogenetic stage",2,3.97275776431513,0.264420864828166,2.314,7.593
