"Traits","Model","Effect size","Estimate","Fixed effects"," "," "," "," "
,,,,"Mean","CI.lb","CI.ub","k","n"
"Growth factors","Intercept-only","lnRR","Intercept","0.255","0.059","0.451","131","1126"
,,"lnCVR","Intercept","0.299","-0.295","0.892","131","1126"
,,,,,,,,
"BDNF",,"lnRR","Intercept","0.254","0.007","0.5","60","623"
,,"lnCVR","Intercept","0.45","-0.422","1.321","60","623"
,,,,,,,,
"TrkB",,"lnRR","Intercept","0.133","0.036","0.23","14","156"
,,"lnCVR","Intercept","0.142","-0.257","0.541","14","156"
,,,,,,,,
"VEGF",,"lnRR","Intercept","0.306","0.093","0.519","25","255"
,,"lnCVR","Intercept","-0.11","-0.548","0.327","25","255"
,,,,,,,,
"reelin",,"lnRR","Intercept","0.216","-0.013","0.446","14","112"
,,"lnCVR","Intercept","0.298","-0.488","1.085","14","112"
,,,,,,,,
"GFAP",,"lnRR","Intercept","0.162","-0.099","0.422","10","101"
,,"lnCVR","Intercept","0.109","-0.415","0.633","10","101"
,,,,,,,,
"synapsin",,"lnRR","Intercept","0.109","-0.011","0.229","8","105"
,,"lnCVR","Intercept","0.233","-0.458","0.924","8","105"
